"address","zip_code","num_bed","num_bath","home_area","price"
"615 E 37th St, Los Angeles",90011,2,1,904,360000
"667 E 37th St, Los Angeles",90011,3,2,905,630000
"647 E 37th St, Los Angeles",90011,2,1,1013,540000
"3762 Crawford St, Los Angeles",90011,4,2,1455,735000
"3841 Wall St, Los Angeles",90011,3,2,1008,550000
"3817 Maple Ave, Los Angeles",90011,2,2,928,505000
"3839 Woodlawn Ave, Los Angeles",90011,2,2,1560,520000
"631 E 23rd St, Los Angeles",90011,4,2,1208,470000
"648 E 24th St, Los Angeles",90011,2,2,924,659900
"453 E Adams Blvd, Los Angeles",90011,4,3,2489,1170000
"428 E 25th St, Los Angeles",90011,4,1,1801,830000
"2305 Trinity St, Los Angeles",90011,4,2,2704,630000
"406 E 21st St, Los Angeles",90011,3,1,1090,560000
"503 E 21st St, Los Angeles",90011,3,1,1200,535000
"204 E 29th St, Los Angeles",90011,2,1,1586,650000
"212 E 29th St, Los Angeles",90011,2,1,1041,705
"457 E 30th St, Los Angeles",90011,4,2,1288,655000
"630 E Adams Blvd, Los Angeles",90011,2,1,1160,636555
"2616 Trinity St, Los Angeles",90011,3,2,960,510000
"616 E 28th St, Los Angeles",90011,3,1,1337,650000
"604 E 29th St, Los Angeles",90011,4,3,1731,640000
"2618 Stanford Ave, Los Angeles",90011,2,1,660,359000
"839 E 27th St, Los Angeles",90011,3,1,1797,680000
"847 E 27th St, Los Angeles",90011,5,3,2657,710000
"1039 E 20th St, Los Angeles",90011,3,1,1483,580000
"1215 E 22nd St, Los Angeles",90011,4,2,1176,580000
"1151 E 22nd St, Los Angeles",90011,7,3,2560,729000
"1217 E 23rd St, Los Angeles",90011,4,2,1470,655000
"857 E 24th St, Los Angeles",90011,6,2,1664,690000
"1006 E 24th St, Los Angeles",90011,4,2,1763,430000
"751 E Adams Blvd, Los Angeles",90011,2,1,1544,930000
"1253 E Vernon Ave, Los Angeles",90011,2,1,1084,485000
"1658 E Vernon Ave, Los Angeles",90011,3,3,1441,505
"5517 Hooper Ave, Los Angeles",90011,2,2,694,395000
"915 E 41st St, Los Angeles",90011,3,2,1692,625000
"3215 Morgan Ave, Los Angeles",90011,2,2,625,528900
"1585 E Vernon Ave, Los Angeles",90011,2,1,1492,575000
"415 E 56th St, Los Angeles",90011,10,6,3637,1065000
"411 E 57th St, Los Angeles",90011,2,1,1055,460000
"239 E 54th St, Los Angeles",90011,5,2,1962,1300000
"1005 E 57th St, Los Angeles",90011,4,1,1306,425000
"935 E 52nd Pl, Los Angeles",90011,2,1,672,450000
"5208 Hooper Ave, Los Angeles",90011,4,2,1508,570000
"1445 E 54th St, Los Angeles",90011,3,1,1670,1300000
"1408 E 57th St, Los Angeles",90011,4,2,1146,535000
"1588 E 48th St, Los Angeles",90011,3,1,1366,140000
"1641 E 50th Pl, Los Angeles",90011,1,1,716,241000
"1340 E Vernon Ave, Los Angeles",90011,3,1,1742,310000
"1201 E 51st St, Los Angeles",90011,2,1,864,430000
"770 E 45th St, Los Angeles",90011,3,1,1302,567500
"774 E 47th St, Los Angeles",90011,4,2,1585,655000
"715 E 49th St, Los Angeles",90011,10,6,3582,1035000
"920 E 50th St, Los Angeles",90011,2,1,1080,1900000
"881 E 50th St, Los Angeles",90011,4,3,2005,550000
"1008 E 49th Pl, Los Angeles",90011,10,6,3555,1300000
"977 E 49th St, Los Angeles",90011,8,2,2324,705
"481 Park Front Walk, Los Angeles",90011,10,7,3900,986500
"479 Park Front Walk, Los Angeles",90011,8,4,4883,905
"272 E 43rd St, Los Angeles",90011,3,2,1248,605
"949 E Jefferson Blvd, Los Angeles",90011,4,3,1140,105
"921 E 32nd St, Los Angeles",90011,2,1,1252,540000
"1147 E Martin Luther King Jr Blvd, Los Angeles",90011,3,2,1520,470000
"1366 E 33rd St, Los Angeles",90011,2,1,840,605
"703 E 42nd Pl, Los Angeles",90011,3,2,1152,690000
"841 E 43rd Pl, Los Angeles",90011,3,2,1700,795000
"4171 Zamora St, Los Angeles",90011,3,1,1313,240000
"4164 Hooper Ave #1, Los Angeles",90011,3,2,1040,705
"1337 E Vernon Ave, Los Angeles",90011,2,1,1413,550000
"1476 E 43rd St, Los Angeles",90011,2,1,1068,1250000
"1662 E 41st Pl, Los Angeles",90011,1,1,910,483000
"1543 E Martin Luther King Jr Blvd, Los Angeles",90011,3,2,1046,525000
"1669 E Martin Luther King Jr Blvd Unit B, Los Angeles",90011,6,3,2369,320000
"4012 Morgan Ave, Los Angeles",90011,9,6,3458,1065000
"1664 E Martin Luther King Jr Blvd Unit B, Los Angeles",90011,3,1,1178,480000
"1524 E Martin Luther King Jr Blvd, Los Angeles",90011,2,2,1127,460000
"1513 E 21st St, Los Angeles",90011,4,2,1336,683000
"1310 E 27th St, Los Angeles",90011,3,1,1149,230000
"1154 E Adams Blvd, Los Angeles",90011,4,1,1322,545000
"1245 E 27th St, Los Angeles",90011,4,2,1336,362500
"1426 E 22nd St, Los Angeles",90011,3,1,1176,130000
"1469 E 22nd St, Los Angeles",90011,2,1,1724,575000
"189 E 35th St, Los Angeles",90011,3,2,840,505000
"132 E 36th Pl, Los Angeles",90011,2,1,1620,805
"620 E 36th St, Los Angeles",90011,2,1,866,560000
"3631 Adair St, Los Angeles",90011,2,1,1456,462000
"3713 Trinity St, Los Angeles",90011,4,2,1453,405
"3803 CRAWFORD St, Los Angeles",90011,2,1,792,515000
"3753 Woodlawn Ave, Los Angeles",90011,6,4,2418,1950000
"516 E 23rd St, Los Angeles",90011,2,1,888,450000
"427 E 21st St #425, Los Angeles",90011,2,1,1098,1330000
"130 E 24th St, Los Angeles",90011,2,1,858,160000
"207 E 27th St, Los Angeles",90011,3,1,1582,680000
"440 E 28th St, Los Angeles",90011,2,1,1352,214500
"420 E Adams Blvd, Los Angeles",90011,2,1,1316,225000
"634 E 27th St, Los Angeles",90011,7,4,2080,605
"1039 E 28th St, Los Angeles",90011,NA,NA,NA,850000
"817 E 21st St, Los Angeles",90011,2,1,1199,330000
"1214 E 21st St, Los Angeles",90011,6,2,2286,440000
"1381 Walnut St, Los Angeles",90011,3,2,2284,660000
"11855 160th St, Norwalk",90650,3,1,1008,405
"11866 161st St, Norwalk",90650,3,1,960,390000
"11864 163rd St, Norwalk",90650,3,2,1230,640000
"12058 Algardi St, Norwalk",90650,3,NA,1005,495000
"12030 161st St, Norwalk",90650,3,1,875,530000
"12044 163rd St, Norwalk",90650,4,2,1360,695000
"12017 Chesterton St, Norwalk",90650,3,1,956,505
"12127 162nd St, Norwalk",90650,3,2,1450,705000
"12110 Algardi, Norwalk",90650,3,1,681,610000
"15937 Norwalk Blvd, Norwalk",90650,3,2,1190,740000
"12019 166th St, Norwalk",90650,3,2,1380,740000
"12113 164th St, Norwalk",90650,3,2,1250,667000
"11638 Cedarvale St, Norwalk",90650,3,2,1274,705000
"16322 Flallon Ave, Norwalk",90650,4,2,1368,775000
"16302 Jersey Ave, Norwalk",90650,3,2,1247,725000
"16228 Maidstone Ave, Norwalk",90650,3,2,1241,662000
"16317 Jersey Ave, Norwalk",90650,4,2,1424,806999
"11523 College Dr, Norwalk",90650,2,1,777,577400
"16323 Mcrae Ave, Norwalk",90650,3,2,1247,719999
"16316 Alora Ave, Norwalk",90650,3,2,1271,722000
"16419 Alora Ave, Norwalk",90650,3,2,1254,740000
"16411 Alora Ave, Norwalk",90650,3,2,1274,670000
"16413 Gridley Rd, Norwalk",90650,3,1,1149,755000
"12162 Hermes St, Norwalk",90650,3,2,1334,760000
"11313 Brink Ave, Norwalk",90650,2,1,744,652000
"11013 Brink Ave, Norwalk",90650,3,1,1164,680000
"11122 Pioneer Blvd, Norwalk",90650,3,2,1513,620000
"11937 Bayla St, Norwalk",90650,4,2,1385,625000
"11421 Gwynne Ave, Norwalk",90650,3,2,1756,790000
"11503 Gwynne Ave, Norwalk",90650,3,1,972,715000
"11531 Bombardier Ave, Norwalk",90650,2,2,1172,570000
"12163 Shy St, Norwalk",90650,2,1,838,585000
"12145 Pantheon St, Norwalk",90650,2,1,948,540000
"11602 Bombardier Ave, Norwalk",90650,3,2,1360,750000
"11842 Tina St, Norwalk",90650,3,1,854,605
"11902 Tina St, Norwalk",90650,3,1,969,615000
"11457 Arlee Ave, Norwalk",90650,2,1,856,619000
"11106 Alburtis Ave, Norwalk",90650,3,2,1631,810000
"11203 Milano Ave, Norwalk",90650,3,1,1047,705
"11521 Pluton St, Norwalk",90650,3,1,1047,625000
"13237 Newmire Ave, Norwalk",90650,4,3,2309,935000
"10622 Meadow Rd, Norwalk",90650,3,2,1417,750000
"12162 Achilles St, Norwalk",90650,3,2,1670,760000
"14405 Gridley Rd, Norwalk",90650,3,1,1484,695000
"11521 Mclaren St, Norwalk",90650,4,3,1545,755000
"11954 Nava St, Norwalk",90650,2,1,702,595000
"11312 Flallon Ave, Norwalk",90650,3,2,1723,795000
"11619 Alburtis Ave, Norwalk",90650,3,1,1080,582000
"11508 Corby Ave, Norwalk",90650,3,1,1080,625000
"11702 Alburtis Ave, Norwalk",90650,3,1,1080,635000
"11828 Mondon Ave, Norwalk",90650,4,2,1846,845000
"11725 Cyclops St, Norwalk",90650,3,1,1053,643000
"11720 Allard St, Norwalk",90650,3,1,1053,650000
"11410 Orr And Day Rd, Norwalk",90650,3,2,1455,775000
"11909 Summer Ave, Norwalk",90650,3,2,1172,650000
