"address","zip_code","num_bed","num_bath","home_area","price"
"27910 Pacific Coast Highway Malibu",90265,4,7,5154,54950000
"Restricted Address Los Angeles",90069,4,4,5155,9250000
"2823 Montcalm Avenue Los Angeles",90046,3,2,2395,2995000
"8320 Zitola Terrace Playa del Rey",90293,3,2,2404,2195000
"16226 Dickens Street Encino",91436,5,6,4900,4799000
"3222 Sagamore Way Glassell Park",90065,4,4,2404,1449900
"3410 North Knoll Drive Los Angeles",90068,5,5,2607,2195000
"834 3rd Street Hermosa Beach",90254,3,2,2147,1825000
"4248 Laurel Canyon Boulevard, Unit 104 Studio City",91604,2,2,1100,685000
"854 North Stanley Avenue Los Angeles",90046,5,5,4460,4399999
"1256 Delresto Drive Beverly Hills",90210,6,7,6151,8995000
"1200 Corsica Drive Pacific Palisades",90272,4,3,3500,7995000
"1245 South Hudson Avenue Los Angeles",90019,6,4,4288,2795000
"9600 Dale Avenue Shadow Hills",91040,6,5,3793,2150000
"750 Marzella Avenue Los Angeles",90049,3,2,2340,2995000
"4722 Greenbush Avenue Sherman Oaks",91423,3,3,1517,1499999
"3238 West 108th Street Inglewood",90303,3,2,1167,899000
"722 21st Street Santa Monica",90402,3,3,3067,4795000
"11558 Morrison Street Valley Village",91601,5,5,5248,2995000
"10514 Camarillo Street Toluca Lake",91602,5,4,5280,3895000
"3584 Sepulveda Boulevard Sherman Oaks",91403,4,3,2902,2395000
"964 Old Topanga Canyon Road Topanga",90290,3,2,2609,1775000
"12731 Culver Boulevard Los Angeles",90066,3,2,1319,1699000
"28931 Selfridge Drive Malibu",90265,5,5,4698,18500000
"1326 Benedict Canyon Drive Beverly Hills",90210,4,5,4372,3995000
"16405 Mulholland Drive Los Angeles",90049,4,6,8500,11495000
"15467 La Maida Street Sherman Oaks",91403,3,3,3041,2999000
"13040 Evanston Street Los Angeles",90049,6,7,8652,15670000
"521 Alta Vista Drive Sierra Madre",91024,3,2,1288,998000
"7728 Woodrow Wilson Drive Los Angeles",90046,3,3,4530,11995000
"1822 Westridge Road Los Angeles",90049,5,5,5505,13495000
"4546 South Centinela Avenue Los Angeles",90066,0,2,2457,2698000
"14051 Roblar Road Sherman Oaks",91423,4,3,3314,2899000
"2251 Maravilla Drive Los Angeles",90068,5,4,4534,7988000
"10917 Savona Road Los Angeles",90077,5,5,4990,7950000
"2625 Deep Canyon Drive Beverly Hills",90210,8,1,10652,18988000
"28034 Sea Ln Drive Malibu",90265,3,3,5507,47500000
"7674 Willow Glen Road Los Angeles",90046,4,4,4451,6495000
"4434 Placidia Avenue Toluca Lake",91602,3,3,2417,2395000
"6851 Fernhill Drive Malibu",90265,5,3,4653,11850000
"572 North Bundy Drive Los Angeles",90049,6,5,7440,9799000
"20711 Hillside Drive Topanga",90290,4,3,3373,4795000
"1321 Belfast Drive Los Angeles",90069,3,2,2023,2995000
"8743 Sari Avenue Northridge",91343,5,3,2788,1299000
"1450 Benedict Canyon Drive Beverly Hills",90210,2,2,1067,2450000
"31626 Sea Level Drive Malibu",90265,4,5,3501,11750000
"27930 Pacific Coast Highway Malibu",90265,1,1,12610,75000000
"3255 Canyon Lake Drive Los Angeles",90068,5,5,4800,5750000
"25120 Jim Bridger Road Hidden Hills",91302,7,9,15973,19999000
"24333 Little Valley Road Hidden Hills",91302,5,5,3341,5777777
"24834 Pacific Coast Highway Malibu",90265,5,6,10000,39500000
"33602 Pacific Coast Highway Malibu",90265,6,8,6451,42500000
"913 Fernwood Pacific Drive Topanga",90290,3,3,2440,2895000
"2612 Wallingford Drive Beverly Hills",90210,5,6,3562,7995000
"31532 Victoria Point Road Malibu",90265,4,4,4419,13950000
"2552 Benedict Canyon Drive Beverly Hills",90210,3,3,3246,3795000
"233 22nd Street Santa Monica",90402,5,4,3325,5495000
"2641 Hutton Drive Beverly Hills",90210,5,7,8000,15750000
"31646 Foxfield Drive Westlake Village",91361,5,6,6067,3925000
"175 West Channel Road Santa Monica",90402,4,3,3664,6150000
"7089 Birdview Avenue Malibu",90265,3,2,2571,16995000
"24216 Malibu Road Malibu",90265,3,2,1676,8450000
"8000 Oceanus Drive Los Angeles",90046,4,4,3647,7350000
"1417 Bluebird Avenue Los Angeles",90069,4,3,3714,3999999
"6530 Zuma View Place Malibu",90265,4,4,4850,14750000
"1617 North Kings Road Los Angeles",90069,5,5,4725,6495000
"444 Sycamore Road Santa Monica",90402,4,3,2380,4095000
"1234 South Manhattan Place Los Angeles",90019,4,3,3550,1875000
"1659 Marlay Drive West Hollywood",90069,6,8,7049,10500000
"1143 Linda Flora Drive Los Angeles",90049,5,5,6033,7495000
"12458 Longacre Avenue Granada Hills",91344,5,5,5657,2799950
"1430 Sunset Plaza Drive Los Angeles",90069,5,7,5650,10750000
"2601 Summitridge Drive Beverly Hills",90210,2,1,1497,19995000
"19046 Pacific Coast Highway Malibu",90265,2,2,1185,3795000
"2350 Benedict Canyon Drive Beverly Hills",90210,4,3,2868,2995000
"517 Canon View Trail Topanga",90290,4,3,1378,1799000
"3448 12th Avenue Los Angeles",90018,4,2,2380,1185000
"814 Foothill Road Beverly Hills",90210,7,7,6321,25000000
"12149 Iredell Street Studio City",91604,5,5,5700,8995000
"6600 West 80th Place Los Angeles",90045,4,4,3223,3499000
"3535 Ridgeford Drive Westlake Village",91361,4,3,3726,2200000
"1314 Sunset Plaza Drive Los Angeles",90069,5,4,5002,3795000
"9006 Phyllis Avenue West Hollywood",90069,3,3,1515,2349000
"13412 Galewood Street Sherman Oaks",91423,5,5,3405,3299000
"10062 Westwanda Drive Beverly Hills",90210,3,3,2595,3995000
"1600 Clear View Drive Beverly Hills",90210,5,6,6708,6995000
"8126 West 4th Street Los Angeles",90048,5,5,5520,4995000
